001 SOUND_OPEN_POPUP_1
365 SOUND_THUNDER_BOLT
366 SOUND_LIGHTNING_STRIKE
367 SOUND_FRIGHT_JAR
368 SOUND_MYSTERY_REEL
369 SOUND_HUSTLE_WHISTLE
369 SOUND_SMALL_GLASS_BREAK
36B SOUND_CRYSTAL_KING_DISAPPEAR
36C SOUND_LRAW_SHY_GUY_CROWD_1
36D SOUND_LRAW_SHY_GUY_CROWD_2
36E SOUND_MONSTAR_STAR_STORM
36F SOUND_TOY_TANK_FALL_APART
370 SOUND_KENT_C_SHELL_TOSS_LOOP
371 SOUND_PLAYER_SPINNING
372 SOUND_LIFE_SHROOM_CHIME
373 SOUND_REVIVAL_MAGIC
374 SOUND_PLAYER_REVIVE
375 SOUND_REPEL_GEL_APPLY
376 SOUND_REPEL_GEL_VANISH
377 SOUND_PLANT_FIRE_FLOWER
378 SOUND_RECOVERY_SHMMER
379 SOUND_VOLT_SHROOM_APPLY
37A SOUND_HIT_PLAYER_SHOCK
37B SOUND_HIT_SHOCK
37C SOUND_KOOPA_LAUNCH_SHELL
37D SOUND_LANTERN_GHOST_STEP
37E SOUND_TOY_TANK_STEP
380 SOUND_SHY_GUY_FLY
381 SOUND_GOURMET_GUY_SHOCK_1
382 SOUND_GOURMET_GUY_SHOCK_2
383 SOUND_GOURMET_GUY_SHOCK_3
384 SOUND_GOURMET_GUY_RUN
385 SOUND_GOURMET_GUY_LAUNCH
386 SOUND_BIG_DRUM_A
387 SOUND_BIG_DRUM_B
388 SOUND_LRAW_OMO_SLOT_MACHINE
389 SOUND_SAM_POND_CRACK_1
38A SOUND_SAM_POND_CRACK_2
38B SOUND_SAM_POND_SHATTER
38C SOUND_SAM_SNOWMAN_JUMP
38D SOUND_SAM_SNOWMEN_RAISE_WALL
38E SOUND_SAM_SNOWMEN_OPEN_PASSAGE
390 SOUND_TOSS_PLAYER
391 SOUND_LRAW_SPINNING_FLOWER
392 SOUND_MUNCHLESIA_CHEW
393 SOUND_MUNCHLESIA_SPIT
394 SOUND_OVEN_TIMER_TICKING
395 SOUND_GENERAL_WHISTLE
396 SOUND_ICE_SHATTER
397 SOUND_PENGUIN_WHISTLE
398 SOUND_DRAG_PLAYER
399 SOUND_SAM07_RAISE_FLOOR
39A SOUND_SAM07_LOWER_FLOOR
39B SOUND_SAM08_RAISE_FLOOR
39C SOUND_SAM_STAIRS_ACTIVATE
39D SOUND_SAM_STAIRS_LOUD_THUD
39E SOUND_LRAW_SAM_STAIRS_RISE
39F SOUND_SAM_STAIRS_FINAL_THUD
3A0 SOUND_MIM_MUSHROOM_GLOW
3A1 SOUND_UNUSED_TAPPING_LOOP
3A2 SOUND_SHY_GUY_FLEE_LOOP
3A3 SOUND_LANTERN_GHOST_REVEAL_MORE_1
3A4 SOUND_LANTERN_GHOST_REVEAL_MORE_2
3A5 SOUND_LANTERN_GHOST_REVEAL_MORE_3
3A6 SOUND_LANTERN_GHOST_REVEAL_MORE_4
3A7 SOUND_LANTERN_GHOST_DARKEN_1
3A8 SOUND_LANTERN_GHOST_DARKEN_2
3A9 SOUND_LANTERN_GHOST_DARKEN_3
3AA SOUND_LANTERN_GHOST_DARKEN_4
3AB SOUND_PIRANHA_BREATH
3AC SOUND_GOOMBA_BROS_STEP
3AD SOUND_LRAW_FIGHTING
3AE SOUND_TANK_BULB_SHATTER
3AF SOUND_CRYSTAL_KING_INHALE
3B0 SOUND_HUFF_N_PUFF_INHALE
3B1 SOUND_PIRANHA_SPIN
3B2 SOUND_PIRANHA_CHOMP
3B3 SOUND_HUFF_N_PUFF_REAR_UP
3B4 SOUND_ACTOR_STEP_B
3B5 SOUND_FAKE_BOWSER_BLAST
3B6 SOUND_SHY_GUY_STEP_A
3B7 SOUND_SHY_GUY_STEP_B
3B9 SOUND_MASTER_LEAP
3BA SOUND_BUBBLE_DOWN
3BB SOUND_LAVA_PIRANHA_RECOVER
3BC SOUND_LRAW_RUMBLE
3BD SOUND_BOWSER_FIRE_BREATH_LOOP
3BE SOUND_FAKE_BOWSER_LONG_WALK
3C0 SOUND_HUFF_N_PUFF_EMERGE
3C1 SOUND_LAVA_PIRANHA_INHALE
3C2 SOUND_LAVA_PIRANHA_SHRIVEL
3C3 SOUND_LAVA_PIRANHA_SPIT_FIRE
3C4 SOUND_LAVA_PIRANHA_FIRE_BREATH
3C5 SOUND_LAVA_PIRANHA_EMERGE
3C6 SOUND_LAVA_PIRANHA_DEFEAT
3C7 SOUND_LAVA_BUD_WITHER
3C8 SOUND_LAVA_PIRANHA_WITHER
3C9 SOUND_LAVA_BUD_SPIT_PETIT
3CA SOUND_PETIT_PIRANHA_ASCEND
3CB SOUND_PETIT_PIRANHA_DIVE
3CC SOUND_LAVA_PIRANHA_WRITHE
3CD SOUND_LAVA_PIRANHA_COLLAPSE
3CE SOUND_PIRANHA_STEP
3CF SOUND_LANTERN_GHOST_INHALE
3D0 SOUND_LANTERN_GHOST_BLOW
3D1 SOUND_HUFF_N_PUFF_FLY
3D2 SOUND_ELECTRIC_BUZZ
3D3 SOUND_HUFF_N_PUFF_LIGHTNING_BLAST
3D4 SOUND_OPEN_SHELL
3D5 SOUND_RUFF_PUFF_FLY_A
3D6 SOUND_RUFF_PUFF_FLY_B
3D9 SOUND_LIGHT_THROW
3DB SOUND_SQUEEZE
3DC SOUND_BLOOPER_MOVE
3DD SOUND_BLOOPER_FALL
3DE SOUND_BLOOPER_SQUIRT
3E0 SOUND_LEECH
3E1 SOUND_AI_FOUND_PLAYER_JUMP
3E2 SOUND_ACTOR_JUMP
3E3 SOUND_ACTOR_TRIP
3E4 SOUND_ACTOR_TWITCH
3E5 SOUND_ACTOR_DEATH
3E6 SOUND_BIG_POWER_UP
3E7 SOUND_LARGE_ACTOR_JUMP
3E8 SOUND_MOLE_THROW
3E9 SOUND_KOOPA_BROS_LAND
3EA SOUND_FAKE_BOWSER_STEP
3EB SOUND_SMALL_CROWD_WALK
3EC SOUND_LARGE_CROWD_WALK
3ED SOUND_MASTER_SMACK
3EE SOUND_MASTER_PUNCH
3EF SOUND_BOWSER_CHARGE_LIGHTNING
3F1 SOUND_DANGER
3F2 SOUND_PERIL
3F3 SOUND_DING
3F4 SOUND_LULLABY
3F5 SOUND_BUBBLES_RISING
3F6 SOUND_DRIP
3F9 STONE_STONE_CHOMP_STEP
3FA SOUND_THROW
3FB SOUND_PLAYER_COLLAPSE
3FC SOUND_LUCKY
2003 SOUND_GOOMBARIO_GATHERING
2004 SOUND_PARAKARRY_PREDIVE
2005 SOUND_PARAKARRY_DIVE
2006 SOUND_PARAKARRY_SHELL_SHOT
2009 SOUND_PARAKARRY_FLAP
200A SOUND_PARAKARRY_AIR_RAID_1
200B SOUND_PARAKARRY_AIR_RAID_2
200C SOUND_KOOPER_SHELL_SPINUP
200D SOUND_GOOMBARIO_JUMP
200E SOUND_BOW_VANISH
200F SOUND_BOW_APPEAR
2010 SOUND_EGG_MISSILE_BLAST
2011 SOUND_WATT_REPEL_DARKNESS
2012 SOUND_WATT_RESUME_DARKNESS
2013 SOUND_SUSHIE_EMBARK
2014 SOUND_SUSHIE_RIDE_IDLE
2015 SOUND_SUSHIE_RIDE_MOVING
2016 SOUND_BOMBETTE_BLAST_LV1
2017 SOUND_BOMBETTE_BLAST_LV2
2018 SOUND_BOMBETTE_BLAST_LV3
2019 SOUND_BOW_SMACK
201A SOUND_BOW_FAN_SMACK
201B SOUND_LAKILESTER_THROW_SPINY_A
201C SOUND_LAKILESTER_THROW_SPINY_B
201D SOUND_LAKILESTER_MAKE_CLOUD_NINE
201E SOUND_LAKILESTER_HURRICANE_INHALE
201F SOUND_LAKILESTER_HURRICANE_EXHALE
2020 SOUND_BOMBETTE_BODY_SLAM
2021 SOUND_SHELL_SPIN
2022 SOUND_FAN_SMACK_HIT
2023 SOUND_FAN_SMACK_END
2024 SOUND_WATT_MEGA_CHARGE_WAVE
2026 SOUND_DIZZY_SHELL
202A SOUND_SHUFFLE_CARD_A
202B SOUND_SHUFFLE_CARD_B
202C SOUND_FIRE_FLOWER_A
202D SOUND_FIRE_FLOWER_B
202E SOUND_SNOWMAN_DOLL_JUMP
202F SOUND_NOISE_RUSH
2030 SOUND_POW_BLOCK
2031 SOUND_INFLICT_SLEEP
2032 SOUND_INFLICT_STATUS
2033 SOUND_DIZZY_DIAL
2034 SOUND_SUSHIE_BELLY_FLOP
2035 SOUND_CREATE_WATER_BLOCK
2036 SOUND_WHALE_OPEN_MOUTH
2037 SOUND_WHALE_CLOSE_MOUTH
2038 SOUND_TUBBA_SNORE_INHALE
2039 SOUND_TUBBA_SNORE_EXHALE
203A SOUND_KPA_BRIDGE_COLLAPSE_A
203B SOUND_KPA_BRIDGE_COLLAPSE_B
203C SOUND_KPA_ARENA_EXPLODING
203D SOUND_OBK_STAIRS_DROP
203E SOUND_SHY_GUY_OUCH
203F SOUND_SHY_GUY_RUN_AWAY
2040 SOUND_KPA_FLIP_BRIDGE_PANEL
2041 SOUND_STAR_SPIRIT_APPEAR_A
2042 SOUND_STAR_SPIRIT_APPEAR_B
2043 SOUND_STAR_SPIRIT_CAST_A
2044 SOUND_STAR_SPIRIT_CAST_B
2045 SOUND_STAR_SPIRIT_DEPART_1
2046 SOUND_STAR_SPIRIT_DEPART_2
2047 SOUND_STAR_SPIRIT_DEPART_3
2049 SOUND_DARK_TOAD_DISPEL
204A SOUND_OPEN_MAGIC_CHEST
204B SOUND_CLOSE_MAGIC_CHEST
204C SOUND_QUICK_HINGE
204D SOUND_FLO_MOVE_PILLAR
2051 SOUND_WISH_ASCENDING
2052 SOUND_UP_AND_AWAY_SEND_AWAY
2053 SOUND_STAR_POWER_RECOVERY
2055 SOUND_START_RECOVERY
2056 SOUND_RECOVER
2059 SOUND_FLOWERS_LIGHT_GIGGLE
205A SOUND_FLOWERS_SAD_GIGGLE
205B SOUND_FLOWERS_LAUGH
205C SOUND_FLOWERS_WITHER
205D SOUND_FLOWERS_GROW
205E SOUND_ROCK_LAUGHTER
205F SOUND_TREE_LAUGHTER
2060 SOUND_IMPISH_LAUGH
2061 SOUND_CHAIN_CHOMP_BITE
2062 SOUND_CHAIN_CHOMP_THUD
2063 SOUND_CHAIN_RATTLE
2064 SOUND_SHY_STACK_SQUISH
2065 SOUND_STILT_GUY_UNFOLD
2066 SOUND_STILT_GUY_STEP
2067 SOUND_STILTS_FALL
2069 SOUND_TANK_BULB_FIRE
206A SOUND_TOY_TANK_OPEN_HATCH
206B SOUND_TOY_TANK_CLOSE_HATCH
206C SOUND_WOODEN_BLOCK
206D SOUND_RECOVER_HEART
206E SOUND_FUZZY_RUMBLE
206F SOUND_FUZZY_SHAKE
2070 SOUND_FUZZY_DIVIDE
2071 SOUND_UP_AND_AWAY_CAPTURE
2072 SOUND_YOSHI
2073 SOUND_HIT_WHACKA
2074 SOUND_MAGIC_ASCENDING
2075 SOUND_MAGIC_DESCENDING
2076 SOUND_BOMB_BLAST
2078 SOUND_BULLET_BILL_EXPLODE_A
2079 SOUND_BULLET_BILL_EXPLODE_B
207A SOUND_KAMMY_SUMMON_MAGIC
207B SOUND_KAMMY_SUMMON_BLOCK
207C SOUND_KAMMY_RAISE_OBJECT
207D SOUND_KAMMY_LOWER_OBJECT
207E SOUND_TWINK_ATTACK
207F SOUND_TWINK_FLY_A
2081 SOUND_QUICK_PLAYER_JUMP
2082 SOUND_JUMP_8BIT_MARIO
2085 SOUND_STAR_BOX_LAUNCHER
2086 SOUND_SPRING
2087 SOUND_ZIPLINE_FINISH
2088 SOUND_PUSH_BLOCK
2089 SOUND_PULL_VINE
208A SOUND_FLOOR_SWITCH_DEPRESS
208B SOUND_FLOOR_SWITCH_ACTIVATE
208C SOUND_NO_DAMGE
208D SOUND_USE_ITEM
208E SOUND_GROW
208F SOUND_CHARGE_UP
2091 SOUND_OPEN_TRAPDOOR
2092 SOUND_BREAK_FLOOR
2093 SOUND_SPIKES_EXTEND
2094 SOUND_JUMP_SCARE
2095 SOUND_EAT_OR_DRINK
2096 SOUND_SPIT_OUT
2097 SOUND_GLASS_SHATTER
2098 SOUND_VANISH_IN_SMOKE
2099 SOUND_HEART_PLANT
209A SOUND_HURT_PLANT_SHRIEK
209B SOUND_MUNCHLESIA_SUCTION
209D SOUND_JAN_LOG_LAND
209E SOUND_JAN_LOG_SPLIT
209F SOUND_SEPARATE_BUSHES
20A0 SOUND_LARGE_NPC_IMPACT
20A1 SOUND_STARSHIP_BOOST
20A2 SOUND_IWA_SLIDE_GATE
20A3 SOUND_CREAKY_WINDOW_OPEN
20A4 SOUND_CREAKY_WINDOW_CLOSE
20A5 SOUND_TRAIN_DOOR_OPEN
20A6 SOUND_TRAIN_DOOR_CLOSE
20A7 SOUND_TURN_MECHANISM
20A8 SOUND_CAPSULE_OPEN
20AB SOUND_FLIP_PANEL
20AC SOUND_CLOSE_PANEL
20AD SOUND_WATER_SPLASH
20AE SOUND_BREAK_CRATE
20AF SOUND_HOLLOW_RISING
20B0 SOUND_HOLLOW_FALLING
20B1 SOUND_PIRANHA_SPIN_1
20B2 SOUND_PIRANHA_SPIN_2
20B3 SOUND_PIRANHA_TENSE
20B4 SOUND_HEAVY_NPC_STEP_B
20B6 SOUND_HUFF_N_PUFF_JIGGLE
20B7 SOUND_HUFF_N_PUFF_WOBBLE
20B8 SOUND_GHOST_TRANSFORM
20B9 SOUND_JR_TROOPA_TRANSFORM
20BA SOUND_ACTOR_STEP_A
20BB SOUND_MASTER_FLUTTER
20BC SOUND_MASTER_KICK
20BD SOUND_MASTER_STANCE_CHANGE
20BE SOUND_MASTER_FLIP
20BF SOUND_LAVA_BUD_RECOVER
20C1 SOUND_SMALL_NPC_STEP
20C2 SOUND_BANDIT_STEAL
20C3 SOUND_DISAPPOINTED
20C4 SOUND_CLUBBA_STEP
20C5 SOUND_CLUBBA_SWING
20C6 SOUND_MBUSH_STEP
20C8 SOUND_TUBBA_HEART_JUMP
20C9 SOUND_MBUSH_LEAP
20CA SOUND_BZZAP_STING
20CB SOUND_MINI_BZZAP_STING
20CC SOUND_BZZAP_CALL_SWARM
20CD SOUND_BONY_BEETLE_STEP
20CE SOUND_BONY_BEETLE_EXTEND_SPIKES
20CF SOUND_BONY_BEETLE_RETRACT_SPIKES
20D0 SOUND_CLEFT_STEP
20D1 SOUND_CLEFT_TACKLE
20D2 SOUND_LAKITU_THROW_SPINY
20D3 SOUND_SHELL_TOSS
20D4 SOUND_SPELL_CAST1
20D5 SOUND_SPELL_CAST2
20D6 SOUND_SPELL_CAST3
20D7 SOUND_SPELL_CAST4
20D8 SOUND_SPELL_CAST5
20D9 SOUND_FUZZIPEDE_MOTION
20DA SOUND_FUZZIPEDE_LEAP
20DB SOUND_FUZZIPEDE_STRIKE
20DC SOUND_COMMAND_LOSS
20DD SOUND_GOOMBA_STEP
20DE SOUND_PIRANHA_BITE
20DF SOUND_PARAGOOMBA_FLY
20E0 SOUND_PARAGOOMBA_PREDIVE
20E1 SOUND_TUTANKOOPA_MAGIC
20E2 SOUND_JR_TOOPA_JUMP
20E3 SOUND_ACTOR_WITHER
20E4 SOUND_ACTOR_COLLAPSE
20E5 SOUND_KNOCKOUT_CHIRPING
20E6 SOUND_TUTANKOOPA_LEVITATE
20E7 SOUND_SPOOKY_LEVITATE
20E8 SOUND_ILLUSION_DISSOLVE
20E9 SOUND_HEAVY_NPC_FALLING
20EA SOUND_HEAVY_NPC_LANDING
20EB SOUND_TUTANKOOPA_DEBRIS_FALL
20EC SOUND_HEAVY_NPC_STEP_A
20ED SOUND_GOOMBA_KING_SPIN
20EE SOUND_GULPIT_LICK
20EF SOUND_BUZZAR_FLAP
20F0 SOUND_BUZZAR_WHIRLWIND
20F1 SOUND_BUZZAR_WINDUP
20F2 SOUND_BUZZAR_DIVE
20F3 SOUND_SMALL_LENS_FLARE
20F4 SOUND_BUZZAR_THROW
20F5 SOUND_BUZZAR_GRAB
20F6 SOUND_HEAVY_NPC_STEP_C
20F7 SOUND_TUBBAS_HEART_CHARGE
20F9 SOUND_TUBBAS_HEART_SWARM_ATTACK
20FB SOUND_TUBBAS_HEART_SWARM_DISPERSE
20FC SOUND_TUBBAS_HEART_SWARM_VANISH
20FD SOUND_FAKE_BOWSER_SWING
20FE SOUND_FAKE_BOWSER_STRIKE
2101 SOUND_FILE_MENU_MOVE_CURSOR
2102 SOUND_CREATE_FILE_MOVE_CURSOR
2103 SOUND_CREATE_FILE_SET_CHARACTER
2104 SOUND_CREATE_FILE_BACKSPACE
2105 SOUND_CREATE_FILE_CHANGE_CHARSET
2106 SOUND_INFLICT_CHILL_OUT
2107 SOUND_INFLICT_KO
2108 SOUND_SPAWN_BLOCK
210A SOUND_D_DOWN_HIT_1
210B SOUND_D_DOWN_HIT_2
210C SOUND_D_DOWN_HIT_3
2111 SOUND_SPIN
2112 SOUND_SPEEDY_SPIN
2113 SOUND_SPIN_ATTACK
2114 SOUND_SPEEDY_SPIN_ATTACK
2115 SOUND_HAMMER_SWING_1
2116 SOUND_HAMMER_SWING_2
2117 SOUND_HAMMER_SWING_3
2118 SOUND_HAMMER_STRIKE_1
2119 SOUND_HAMMER_STRIKE_2
211A SOUND_HAMMER_STRIKE_3
211B SOUND_HAMMER_QUAKE_1
211C SOUND_HAMMER_QUAKE_2
211D SOUND_HAMMER_QUAKE_3
211E SOUND_SPIN_SMASH_1
211F SOUND_SPIN_SMASH_2
2120 SOUND_SPIN_SMASH_3
2121 SOUND_BOWSER_STAR_ROD_USE
2122 SOUND_BOWSER_STAR_ROD_DRAIN_WAVE
2123 SOUND_BOWSER_STAR_ROD_GATHER
2124 SOUND_BOWSER_STAR_ROD_SHOCKWAVE
2125 SOUND_BOWSER_STAR_ROD_ENCHANT
2126 SOUND_BOWSER_CAST_RECOVER
2127 SOUND_BOWSER_LIGHTNING
2128 SOUND_BOWSER_POWER_DOWN
2129 SOUND_BOWSER_COLLAPSE
212A SOUND_OBK_CHANDELIER_RELEASE
212B SOUND_OBK_CHANDELIER_STOP
212C SOUND_OBK_CHANDELIER_RETRACT
212D SOUND_RELEASE_ENERGY
212E SOUND_GATHER_ENERGY
