# Authoritative names for extracted Paper Mario SoundBank WAV files.
# Column 1 is the raw dump stem; column 2 is the stable asset stem.
# Loop companions consistently use the PascalCase _Loop suffix.

PS01_00	PS01_00_Standard1Kick1
ETC0_0B	ETC0_0B_WindowOpen
ETC0_0C	ETC0_0C_WindowClose
ETC0_0D	ETC0_0D_DoorFlip
ETC0_0E	ETC0_0E_LowerBarrier
ETC0_0F	ETC0_0F_RaiseBarrier

ETC1_00	ETC1_00_UseKey
ETC1_01	ETC1_01_LockDrop
ETC1_02	ETC1_02_BasicDoorOpen
ETC1_03	ETC1_03_BasicDoorClose
ETC1_04	ETC1_04_ForestGateOpen
ETC1_05	ETC1_05_ForestGateClose
ETC1_06	ETC1_06_MetalDoorOpen
ETC1_07	ETC1_07_MetalDoorClose
ETC1_08	ETC1_08_LargeDoorOpen
ETC1_09	ETC1_09_LargeDoorClose
ETC1_0A	ETC1_0A_CreakyDoorOpen
ETC1_0B	ETC1_0B_CreakyDoorClose
ETC1_0C	ETC1_0C_MetalGateOpen
ETC1_0D	ETC1_0D_MetalGateClose
ETC1_0E	ETC1_0E_WoodenDoorOpen
ETC1_0F	ETC1_0F_WoodenDoorClose

ETC2_00	ETC2_00_AirshipDockDoorOpen
ETC2_01	ETC2_01_AirshipDockDoorClose
ETC2_02	ETC2_02_CreakyWindowOpen
ETC2_03	ETC2_03_CreakyWindowClose
ETC2_04	ETC2_04_TrainDoorOpen
ETC2_05	ETC2_05_TrainDoorClose
ETC2_06	ETC2_06_OpenMagicChest
ETC2_07	ETC2_07_CloseMagicChest
ETC2_08	ETC2_08_QuickHinge

ENE0_00	ENE0_00_MolePop
ENE0_01	ENE0_01_BurrowSurface
ENE0_02	ENE0_02_BurrowDig
ENE0_03	ENE0_03_FuzzyHop
ENE0_04	ENE0_04_BulletBillFire
ENE0_05	ENE0_05_BulletBillMotion
ENE0_06	ENE0_06_CreepyLaugh
ENE0_07	ENE0_07_ReverbShotA
ENE0_08	ENE0_07_ReverbShotB
ENE0_09	ENE0_09_Skid
ENE0_0A	ENE0_0A_LakituFlySlow
ENE0_0A_Loop	ENE0_0A_LakituFlySlow_Loop
ENE0_0B	ENE0_0B_LakituFlyFast
ENE0_0B_Loop	ENE0_0B_LakituFlyFast_Loop
ENE0_0C	ENE0_0C_SmallEmerge
ENE0_0D	ENE0_0D_FireBar
ENE0_0E	ENE0_0E_ActorTwitch

ENE1_00	ENE1_00_EnemyAlert
ENE1_01	ENE1_01_EnemyDeath
ENE1_02	ENE1_02_EnemyQuestion
ENE1_03	ENE1_03_EnemyWakeUp
ENE1_04	ENE1_04_SentinelAlarm
ENE1_04_Loop	ENE1_04_SentinelAlarm_Loop
ENE1_05	ENE1_05_SentinelPickup
ENE1_06	ENE1_06_HurtPlantShriek
ENE1_07	ENE1_07_SnoreInhale
ENE1_08	ENE1_08_SnoreExhale
ENE1_09	ENE1_09_BowserChargeLightning
ENE1_0A	ENE1_0A_TweesterGust
ENE1_0B	ENE1_0B_Explode
ENE1_0C	ENE1_0C_EmoteHigh
ENE1_0D	ENE1_0C_EmoteLow

EVT0_00	EVT0_00_ShimmerFalling
EVT0_01	EVT0_01_BridgeXylophone
EVT0_02	EVT0_02_Droning
EVT0_02_Loop	EVT0_02_Droning_Loop
EVT0_03	EVT0_03_GoompaTrip
EVT0_04	EVT0_04_GoompaSlap
EVT0_05	EVT0_05_ObjectLand
EVT0_06	EVT0_06_Wobble
EVT0_06_Loop	EVT0_06_Wobble_Loop
EVT0_07	EVT0_07_DrainingSand
EVT0_07_Loop	EVT0_07_DrainingSand_Loop
EVT0_08	EVT0_08_StoneGrinding
EVT0_08_Loop	EVT0_08_StoneGrinding_Loop
EVT0_09	EVT0_09_FloorSwitchDepress
EVT0_0A	EVT0_0A_FloorSwitchActivate
EVT0_0B	EVT0_0B_BridgeThud
EVT0_0C	EVT0_0C_FlipTrainTrack
EVT0_0D	EVT0_0D_BlowBubble
EVT0_0D_Loop	EVT0_0D_BlowBubble_Loop
EVT0_0E	EVT0_0E_TrainTrackLever
EVT0_0F	EVT0_0F_GeneralWhistle

EVT1_00	EVT1_00_StoneRumble
EVT1_00_Loop	EVT1_00_StoneRumble_Loop
EVT1_01	EVT1_01_Wind
EVT1_01_Loop	EVT1_01_Wind_Loop
EVT1_02	EVT1_02_StoneThud
EVT1_03	EVT1_03_Pounding
EVT1_04	EVT1_04_WoodKnock
EVT1_05	EVT1_05_LowRumble
EVT1_06	EVT1_06_HeavyStep
EVT1_07	EVT1_07_TrainBell
EVT1_08	EVT1_08_TrainWhistle
EVT1_09	EVT1_09_TrainReleaseSteam
EVT1_0A	EVT1_0A_TrainChug
EVT1_0B	EVT1_0B_TrainSwitchRattle
EVT1_0C	EVT1_0C_TrainSwitchSelect
EVT1_0D	EVT1_0D_WoodCrashA
EVT1_0E	EVT1_0E_WoodCrashB
EVT1_0F	EVT1_0F_WoodGroan

EVT2_00	EVT2_00_QuizTick
EVT2_01	EVT2_00_QuizDing
EVT2_02	EVT2_02_AudienceMurmur
EVT2_02_Loop	EVT2_02_AudienceMurmur_Loop
EVT2_03	EVT2_03_AudienceBoo
EVT2_04	EVT2_04_QuizBuzzer
EVT2_05	EVT2_05_QuizNextQuestion
EVT2_06	EVT2_06_StarCardAppears
EVT2_07	EVT2_07_PuffPuffMachine
EVT2_07_Loop	EVT2_07_PuffPuffMachine_Loop
EVT2_08	EVT2_08_FlipPanel
EVT2_09	EVT2_09_TowerRumble
EVT2_0A	EVT2_0A_Gears
EVT2_0A_Loop	EVT2_0A_Gears_Loop
EVT2_0B	EVT2_0B_MetalCreak
EVT2_0C	EVT2_0C_WoodDrawerOpen
EVT2_0D	EVT2_0D_WindowTap
EVT2_0E	EVT2_0E_ScaryShout
EVT2_0F	EVT2_0F_Boing

EVT3_00	EVT3_00_HeavyThud
EVT3_01	EVT3_01_ToyboxTrainGear
EVT3_01_Loop	EVT3_01_ToyboxTrainGear_Loop
EVT3_02	EVT3_02_ToyTrainClick
EVT3_03	EVT3_03_ToyTrainWhistle
EVT3_04	EVT3_04_JumpScare
EVT3_05	EVT3_05_DullMechanism
EVT3_05_Loop	EVT3_05_DullMechanism_Loop
EVT3_06	EVT3_06_EatOrDrink
EVT3_07	EVT3_07_SpitOut
EVT3_08	EVT3_08_GlassShatter
EVT3_09	EVT3_09_GourmetGuyRun
EVT3_0A	EVT3_0A_LogLand
EVT3_0B	EVT3_0B_LogSplit
EVT3_0C	EVT3_0C_SeparateBushes
EVT3_0D	EVT3_0D_SmallGlassBreak
EVT3_0E	EVT3_0E_Ding
EVT3_0F	EVT3_0F_ScreechingGrind
EVT3_0F_Loop	EVT3_0F_ScreechingGrind_Loop

EVT4_00	EVT4_00_DistantThud
EVT4_01	EVT4_01_TrompRoll
EVT4_01_Loop	EVT4_01_TrompRoll_Loop
EVT4_02	EVT4_02_TrompCrash
EVT4_03	EVT4_03_WindmillExt
EVT4_03_Loop	EVT4_03_WindmillExt_Loop
EVT4_04	EVT4_04_ConstructionSaw
EVT4_05	EVT4_05_ConstructionHammer
EVT4_06	EVT4_06_StoneImpact
EVT4_07	EVT4_07_PushBlockFall
EVT4_08	EVT4_08_LargeNpcImpact
EVT4_09	EVT4_09_Wobble
EVT4_0A	EVT4_0A_IceShatterA
EVT4_0B	EVT4_0A_IceShatterB
EVT4_0C	EVT4_0C_MachineSmash
EVT4_0D	EVT4_0C_MachineClick
EVT4_0E	EVT4_0C_MachineDetach
EVT4_0F	EVT4_0F_ClockTicking
EVT4_0F_Loop	EVT4_0F_ClockTicking_Loop

EVT5_00	EVT5_00_CrystalBallWave
EVT5_01	EVT5_01_GoombarioGathering
EVT5_02	EVT5_02_Unused_01F8
EVT5_03	EVT5_03_RescueStarSpirit
EVT5_04	EVT5_04_RecoverHeart
EVT5_05	EVT5_05_BeginWish
EVT5_06	EVT5_06_StarPowerRecovery
EVT5_07	EVT5_07_StarOrbBurst
EVT5_08	EVT5_08_StarSpiritDepart1
EVT5_09	EVT5_09_WishAscending
EVT5_0A	EVT5_0A_UpAndAwaySendAway
EVT5_0B	EVT5_0B_Refresh
EVT5_0C	EVT5_0C_DarkToadDispel
EVT5_0D	EVT5_0D_Unused_013F
EVT5_0D_Loop	EVT5_0D_Unused_013F_Loop
EVT5_0E	EVT5_0E_Unused_0140
EVT5_0E_Loop	EVT5_0E_Unused_0140_Loop
EVT5_0F	EVT5_0F_StarshipAppears
EVT5_0F_Loop	EVT5_0F_StarshipAppears_Loop

EVT6_00	EVT6_00_ShuffleCard
EVT6_01	EVT6_01_LightPower
EVT6_01_Loop	EVT6_01_LightPower_Loop
EVT6_02	EVT6_02_TransporterIn
EVT6_03	EVT6_03_TransporterOut
EVT6_04	EVT6_04_SlideWhistleIn
EVT6_05	EVT6_05_SlideWhistleOut
EVT6_06	EVT6_06_SnowmanBounce
EVT6_07	EVT6_07_ShockImpact
EVT6_08	EVT6_08_UnfoldClick
EVT6_09	EVT6_09_RotateAlbinoDino
EVT6_0A	EVT6_0A_WaterFillBasin
EVT6_0A_Loop	EVT6_0A_WaterFillBasin_Loop
EVT6_0B	EVT6_0B_FlushWater
EVT6_0C	EVT6_0C_WhaleOpenMouth
EVT6_0D	EVT6_0D_WhaleCloseMouth
EVT6_0E	EVT6_0E_KPA_ArenaActive
EVT6_0E_Loop	EVT6_0E_KPA_ArenaActive_Loop
EVT6_0F	EVT6_0F_KPA_ArenaExploding

EVT7_00	EVT7_00_FlowersLightGiggle
EVT7_01	EVT7_01_FlowersSadGiggle
EVT7_02	EVT7_02_FlowersLaugh
EVT7_03	EVT7_03_FlowersWither
EVT7_04	EVT7_04_FlowersGrow
EVT7_05	EVT7_05_RockLaughter
EVT7_06	EVT7_06_TreeLaughter
EVT7_07	EVT7_07_ImpishLaugh
EVT7_08	EVT7_08_RideBeanstalkFlute
EVT7_09	EVT7_09_RavenOoo
EVT7_09_Loop	EVT7_09_RavenOoo_Loop
EVT7_0A	EVT7_0A_PropellerDrone
EVT7_0A_Loop	EVT7_0A_PropellerDrone_Loop
EVT7_0B	EVT7_0B_PropellerTick
EVT7_0C	EVT7_0C_ShyGuyOuch
EVT7_0D	EVT7_0D_ShyGuyRunAway
EVT7_0E	EVT7_0E_SpikesExtend
EVT7_0F	EVT7_0F_WaterSplash

EVT8_00	EVT8_00_StarshipEngineLoop
EVT8_00_Loop	EVT8_00_StarshipEngineLoop_Loop
EVT8_01	EVT8_01_StarshipBoost
EVT8_02	EVT8_02_HollowRising
EVT8_03	EVT8_03_HollowFalling
EVT8_04	EVT8_04_TurnMechanism
EVT8_05	EVT8_05_CapsuleOpen
EVT8_06	EVT8_06_OldGateOpen
EVT8_07	EVT8_07_YoshiKidCry
EVT8_08	EVT8_08_LightMetalThud
EVT8_09	EVT8_09_CheckMailbox
EVT8_0A	EVT8_0A_FlipPanel
EVT8_0B	EVT8_0B_ClosePanel
EVT8_0C	EVT8_0C_ChandelierRelease
EVT8_0D	EVT8_0D_ChandelierRetract
EVT8_0E	EVT8_0E_ChandelierStop

MOB0_00	MOB0_00_PlantsBell
MOB0_01	MOB0_01_PlantsCymbal
MOB0_02	MOB0_02_MushroomGlow
MOB0_03	MOB0_03_SpinningFlower
MOB0_03_Loop	MOB0_03_SpinningFlower_Loop
MOB0_04	MOB0_04_PlantsTrumpet
MOB0_05	MOB0_05_FireplaceBurst
MOB0_06	MOB0_06_CabinetCrash
MOB0_07	MOB0_07_FlipPage
MOB0_08	MOB0_08_HeartPlant
MOB0_09	MOB0_09_MunchlesiaSuction
MOB0_0A	MOB0_0A_HornHonk

PEA0_00	PEA0_00_CloseParasol
PEA0_01	PEA0_01_OpenParasol
PEA0_02	PEA0_02_Transform
PEA0_03	PEA0_03_ParasolMagic
PEA0_04	PEA0_04_CopyEnemy
PEA0_05	PEA0_05_ExtinguishFire
PEA0_06	PEA0_06_DropIntoAshes
PEA0_07	PEA0_07_RotatingWall
PEA0_07_Loop	PEA0_07_RotatingWall_Loop
PEA0_08	PEA0_08_OvenTimerTicking
PEA0_08_Loop	PEA0_08_OvenTimerTicking_Loop
PEA0_09	PEA0_09_StartOvenTimer

MAR2_00	MAR2_00_HammerQuake1
MAR2_01	MAR2_01_HammerQuake2
MAR2_02	MAR2_02_HammerQuake3
MAR2_03	MAR2_03_SpinSmash1
MAR2_04	MAR2_04_SpinSmash2
MAR2_05	MAR2_05_SpinSmash3
MAR2_06	MAR2_06_DDownHit1
MAR2_07	MAR2_07_DDownHit2
MAR2_08	MAR2_08_DDownHit3
MAR2_09	MAR2_09_RunAwayBuildup
MAR2_0A	MAR2_0A_RunAway
MAR2_0B	MAR2_0B_NoDamge
MAR2_0C	MAR2_0C_Trip
MAR2_0D	MAR2_0D_DustOff
MAR2_0E	MAR2_0E_HitSpike
MAR2_0F	MAR2_0F_MoveStatue
MAR2_0F_Loop	MAR2_0F_MoveStatue_Loop

MAR3_00	MAR3_00_StepCrunchy
MAR3_01	MAR3_01_FrightJar
MAR3_02	MAR3_02_UseItem
MAR3_03	MAR3_03_StarBoxLauncher
MAR3_04	MAR3_04_Spring
MAR3_05	MAR3_05_PlaceInSocket
MAR3_06	MAR3_06_BreakFloor
MAR3_07	MAR3_07_SmashHamerBlock1
MAR3_08	MAR3_08_BlockShatter
MAR3_09	MAR3_09_HeartBlock
MAR3_0A	MAR3_0A_DescendingChimes
MAR3_0B	MAR3_0B_BasketElevator
MAR3_0B_Loop	MAR3_0B_BasketElevator_Loop
MAR3_0C	MAR3_0C_ZiplineFinish
MAR3_0D	MAR3_0D_PushBlock
MAR3_0E	MAR3_0E_RetroGrow
MAR3_0F	MAR3_0F_TouchLava

MAR4_00	MAR4_00_RetroJump
MAR4_01	MAR4_01_PullVine
MAR4_02	MAR4_02_SmashHamerBlock23
MAR4_03	MAR4_03_HammerWindup
MAR4_04	MAR4_04_GetStarPowerWave
MAR4_05	MAR4_05_Spin
MAR4_06	MAR4_06_SpeedySpin
MAR4_07	MAR4_07_GatherEnergy
MAR4_08	MAR4_08_ReleaseEnergy

BTL0_00	BTL0_00_Damage
BTL0_01	BTL0_01_Danger
BTL0_02	BTL0_02_Peril
BTL0_03	BTL0_03_HitNormal
BTL0_04	BTL0_04_HitFire
BTL0_05	BTL0_05_HitShock
BTL0_05_Loop	BTL0_05_HitShock_Loop
BTL0_06	BTL0_06_HitIce
BTL0_07	BTL0_07_ActorThrow
BTL0_08	BTL0_08_ActorFlight
BTL0_09	BTL0_09_CrowdCheer
BTL0_09_Loop	BTL0_09_CrowdCheer_Loop
BTL0_0A	BTL0_0A_CrowdClap
BTL0_0B	BTL0_0B_KnockoutChirping
BTL0_0C	BTL0_0C_ActorHurt
BTL0_0D	BTL0_0D_Immune
BTL0_0E	BTL0_0E_ChargeMeter
BTL0_0E_Loop	BTL0_0E_ChargeMeter_Loop

BTL1_00	BTL1_00_InflictStatus
BTL1_01	BTL1_01_InflictSleep
BTL1_02	BTL1_02_FireFlowerShot
BTL1_03	BTL1_03_ThunderCharge
BTL1_04	BTL1_04_ThunderStrike
BTL1_05	BTL1_05_DizzyDial
BTL1_06	BTL1_06_TimeOut
BTL1_07	BTL1_07_SleighBell
BTL1_08	BTL1_08_ChurchBell
BTL1_08_Loop	BTL1_08_ChurchBell_Loop
BTL1_09	BTL1_09_SheepBaa
BTL1_0A	BTL1_0A_SheepStampede
BTL1_0A_Loop	BTL1_0A_SheepStampede_Loop
BTL1_0B	BTL1_0B_BowserPowerUp
BTL1_0C	BTL1_0C_PowBlock
BTL1_0D	BTL1_0D_BallBounce
BTL1_0E	BTL1_0E_NoiseRush
BTL1_0F	BTL1_0F_Lullaby

BTL2_00	BTL2_00_Discharge
BTL2_00_Loop	BTL2_00_Discharge_Loop
BTL2_01	BTL2_01_Zap
BTL2_02	BTL2_02_BowSmack
BTL2_03	BTL2_03_BowFanSmack
BTL2_04	BTL2_04_FanSpin
BTL2_05	BTL2_05_DizzyShellLaunch
BTL2_06	BTL2_06_DizzyShell
BTL2_07	BTL2_07_RoaringFire
BTL2_07_Loop	BTL2_07_RoaringFire_Loop
BTL2_08	BTL2_08_Inhale
BTL2_09	BTL2_09_Exhale
BTL2_0A	BTL2_0A_UseStarBeam
BTL2_0A_Loop	BTL2_0A_UseStarBeam_Loop
BTL2_0B	BTL2_0B_WattCharge
BTL2_0B_Loop	BTL2_0B_WattCharge_Loop
BTL2_0C	BTL2_0C_ChargeUp
BTL2_0D	BTL2_0D_MagicTone
BTL2_0D_Loop	BTL2_0D_MagicTone_Loop
BTL2_0E	BTL2_0E_MagicAscending
BTL2_0F	BTL2_0F_MagicDescending

BTL3_00	BTL3_00_KooperStep
BTL3_01	BTL3_01_StarBeamFire
BTL3_02	BTL3_02_ChainChompBite
BTL3_03	BTL3_03_ChainChompThud
BTL3_04	BTL3_04_ChainRattle
BTL3_05	BTL3_05_PlantFlowers
BTL3_06	BTL3_06_Yoshi
BTL3_07	BTL3_07_HitWhacka
BTL3_08	BTL3_08_InflictKO
BTL3_09	BTL3_09_Lucky

BT20_00	BT20_00_HeartCharge
BT20_01	BT20_01_Feedback
BT20_02	BT20_02_SwarmAttack
BT20_03	BT20_03_SwarmVanish
BT20_04	BT20_04_EmberSpit
BT20_05	BT20_05_EmberJump
BT20_06	BT20_06_EmberFly
BT20_06_Loop	BT20_06_EmberFly_Loop
BT20_07	BT20_07_BanditSteal
BT20_08	BT20_08_SmallNpcStep
BT20_09	BT20_09_Disappointed
BT20_0A	BT20_0A_MbushLeap
BT20_0B	BT20_0B_MbushStep
BT20_0C	BT20_0C_Electrify

BT21_00	BT21_00_LavaPiranhaEmerge
BT21_01	BT21_01_LavaPiranhaSpitFire
BT21_02	BT21_02_LavaPiranhaDefeat
BT21_03	BT21_03_LavaPiranhaWither
BT21_04	BT21_04_LavaBudWither
BT21_05	BT21_05_LavaPiranhaInhale
BT21_06	BT21_06_LavaPiranhaShrivel
BT21_07	BT21_07_LavaPiranhaWrithe
BT21_08	BT21_08_LavaPiranhaCollapse
BT21_09	BT21_09_PetitPiranhaAscend
BT21_0A	BT21_0A_PetitPiranhaDive
BT21_0B	BT21_0B_ClubbaSwing
BT21_0C	BT21_0C_LanternGhostStep
BT21_0D	BT21_0D_BonyBeetleStep
BT21_0E	BT21_0E_BonyBeetleExtendSpikes
BT21_0F	BT21_0F_BonyBeetleRetractSpikes

BT22_00	BT22_00_ActorWither
BT22_01	BT22_01_ActorCollapse
BT22_02	BT22_02_TutankoopaMagic
BT22_03	BT22_03_JrToopaJump
BT22_04	BT22_04_TutankoopaLevitate
BT22_05	BT22_05_TutankoopaDebrisFall
BT22_06	BT22_06_HeavyNpcLanding
BT22_07	BT22_07_HeavyNpcFalling
BT22_08	BT22_08_SpookyLevitate
BT22_09	BT22_09_IllusionDissolve
BT22_0A	BT22_0A_CleftTackle
BT22_0B	BT22_0B_CleftStep
BT22_0C	BT22_0C_LakituThrowSpiny
BT22_0D	BT22_0D_GoombaStep
BT22_0E	BT22_0E_PiranhaBite
BT22_0F	BT22_0F_SpinySpinUp

BT23_00	BT23_00_ShellToss
BT23_01	BT23_01_SpellCast2
BT23_02	BT23_02_SpellCast1
BT23_03	BT23_03_SpellCast4
BT23_04	BT23_04_SpellCast3
BT23_05	BT23_05_SpellCast5
BT23_06	BT23_06_DryBonesThrow
BT23_07	BT23_07_DryBonesCollapse
BT23_08	BT23_08_DryBonesRattle
BT23_09	BT23_09_DryBonesArise
BT23_0A	BT23_0A_FuzzipedeLeap
BT23_0B	BT23_0B_FuzzipedeStrike
BT23_0C	BT23_0C_CommandLoss
BT23_0D	BT23_0D_TubbaHeartJump
BT23_0E	BT23_0E_LakilesterThrowSpinyA
BT23_0F	BT23_0F_SpikeSummonSpiny

BT24_00	BT24_00_DayzeeSong
BT24_01	BT24_01_DayzeeStep
BT24_02	BT24_02_ParagoombaDive
BT24_03	BT24_03_ParagoombaFly
BT24_04	BT24_04_ParagoombaPredive
BT24_05	BT24_05_HurtPlantBite
BT24_06	BT24_06_BuzzarFlap
BT24_07	BT24_07_BuzzarWhirlwind
BT24_08	BT24_08_BuzzarThrow
BT24_09	BT24_09_BuzzarDive
BT24_0A	BT24_0A_BuzzarWindup
BT24_0B	BT24_0B_SmallLensFlare
BT24_0C	BT24_0C_BuzzarGrab
BT24_0D	BT24_0D_PiranhaStep
BT24_0E	BT24_0E_TwinkAttack
BT24_0F	BT24_0F_TwinkDash

BT25_00	BT25_00_DuplighostLeap
BT25_01	BT25_01_SmokeBurst
BT25_02	BT25_02_DuplighostPowerDown
BT25_03	BT25_03_DuplighostStep
BT25_04	BT25_04_BzzapSting
BT25_05	BT25_05_MiniBzzapSting
BT25_06	BT25_06_MiniBzzapBuzz
BT25_06_Loop	BT25_06_MiniBzzapBuzz_Loop
BT25_07	BT25_07_BzzapCallSwarm
BT25_08	BT25_08_ChargeLightning
BT25_09	BT25_09_PiranhaTense
BT25_0A	BT25_0A_PiranhaSpin1
BT25_0B	BT25_0B_PiranhaSpin2
BT25_0C	BT25_0C_MasterFlutter
BT25_0D	BT25_0D_MasterLeap
BT25_0E	BT25_0E_MasterStanceChange
BT25_0F	BT25_0F_MasterFlip

BT26_00	BT26_00_ElectricBuzz
BT26_01	BT26_01_HuffNPuffFireLightning
BT26_02	BT26_02_HuffNPuffFly
BT26_03	BT26_03_RuffPuffFlyA
BT26_04	BT26_04_OpenShell
BT26_05	BT26_05_HeavyWindLoop
BT26_05_Loop	BT26_05_HeavyWindLoop_Loop
BT26_06	BT26_06_HuffNPuffInhale
BT26_06_Loop	BT26_06_HuffNPuffInhale_Loop
BT26_07	BT26_07_LightThrow
BT26_08	BT26_08_OrchestraHit
BT26_09	BT26_09_Squeeze
BT26_0A	BT26_0A_PowerUp
BT26_0B	BT26_0B_HyperCleftLand
BT26_0C	BT26_0C_HyperCleftCharge
BT26_0D	BT26_0D_SpearStab
BT26_0E	BT26_0E_LavaPiranhaRecover
BT26_0F	BT26_08_SpookyRise

BT27_00	BT27_00_DeepWilt
BT27_01	BT27_01_MagikoopaVanish
BT27_02	BT27_02_MagikoopaWandStrike
BT27_03	BT27_03_MagikoopaPowerUp
BT27_04	BT27_04_BlooperFall
BT27_05	BT27_05_BlooperMove
BT27_06	BT27_06_BlooperSquirt
BT27_07	BT27_07_TubbasHeartSwarmDisperse
BT27_08	BT27_08_SummonCrystalBits
BT27_09	BT27_09_SummonCrystalClones
BT27_0A	BT27_0A_CrystalKingIceBolt
BT27_0B	BT27_0B_UpAndAwayCast
BT27_0C	BT27_0C_AlienLanding
BT27_0D	BT27_0D_DayzeeJump
BT27_0E	BT27_0E_Leech
BT27_0F	BT27_0F_LavaBudSpitPetit

BT28_00	BT28_00_SkyGuyBalloonPop
BT28_01	BT28_01_GrooveGuyTwirl
BT28_02	BT28_02_GrooveGuyLeap
BT28_03	BT28_03_GrooveGuySpinDown
BT28_04	BT28_04_GrooveGuySummon
BT28_05	BT28_05_CallForBackup
BT28_06	BT28_06_SlingshotFire
BT28_07	BT28_07_SlingshotDraw
BT28_08	BT28_08_BigPowerUp
BT28_09	BT28_09_HeavyNpcStepC
BT28_0A	BT28_0A_HammerBrosThrow
BT28_0B	BT28_0B_LargeActorJump
BT28_0C	BT28_0C_MonstarCastSpell
BT28_0D	BT28_0D_LanternGhostLight
BT28_0E	BT28_0E_HeavyNpcStepA
BT28_0F	BT28_0F_GoombaKingSpin

BT29_00	BT29_00_KoopaBrosLand
BT29_01	BT29_01_FuzzyRumble
BT29_02	BT29_02_FuzzyShake
BT29_03	BT29_03_FuzzyDivide
BT29_04	BT29_04_ActorHop
BT29_05	BT29_05_ShyGuyFleeLoop
BT29_06	BT29_06_WoodRattle
BT29_07	BT29_07_ShyScreamGroup
BT29_08	BT29_08_ShyScreamSingle
BT29_09	BT29_09_FakeBowserSwing
BT29_0A	BT29_0A_FakeBowserStrike
BT29_0B	BT29_0B_FakeBowserLaugh
BT29_0C	BT29_0C_FakeBowserRattle
BT29_0D	BT29_0D_ShyGuyFly
BT29_0D_Loop	BT29_0D_ShyGuyFly_Loop
BT29_0E	BT29_0E_GatherSmall
BT29_0F	BT29_0F_Toss

BT2A_00	BT2A_06_ToyTankRattle
BT2A_01	BT2A_01_GulpitLick
BT2A_02	BT2A_02_PowerDown
BT2A_03	BT2A_03_JrTroopaNewPower
BT2A_04	BT2A_04_CloseShell
BT2A_05	BT2A_05_TankBulbFire
BT2A_06	BT2A_06_ToyTankTireScreech
BT2A_07	BT2A_07_MasterSmack
BT2A_08	BT2A_08_Fighting
BT2A_09	BT2A_09_ShyStackSquish
BT2A_0A	BT2A_0A_ToyTankOpenHatch
BT2A_0B	BT2A_0B_ToyTankCloseHatch
BT2A_0C	BT2A_0C_LargeCrowdWalk
BT2A_0D	BT2A_0D_SmallCrowdWalk
BT2A_0E	BT2A_0E_StiltGuyStep
BT2A_0F	BT2A_0F_ToyTankFallApart

BT2B_00	BT2B_00_PokeyEmerge
BT2B_01	BT2B_01_PokeySmash
BT2B_02	BT2B_02_PokeyStep
BT2B_03	BT2B_03_AlbinoDinoStep
BT2B_04	BT2B_04_StiltsFall
BT2B_05	BT2B_05_StiltGuyUnfold
BT2B_06	BT2B_06_SpearGuyDance1
BT2B_07	BT2B_07_SpearGuyDance2
BT2B_08	BT2B_08_SpearGuyRipSkirt
BT2B_09	BT2B_09_ShyGuys_Scream
BT2B_09_Loop	BT2B_09_ShyGuys_Scream_Loop
BT2B_0A	BT2B_0A_ShyGuys_Run
BT2B_0A_Loop	BT2B_0A_ShyGuys_Run_Loop
BT2B_0B	BT2B_0B_ShyGuys_BassDrone
BT2B_0B_Loop	BT2B_0B_ShyGuys_BassDrone_Loop
BT2B_0C	BT2B_0C_KammySummonMagic
BT2B_0D	BT2B_0D_KammySummonBlock
BT2B_0E	BT2B_0E_KammyRaiseObject
BT2B_0F	BT2B_0F_KammyLowerObject

BT2C_00	BT2C_00_LanternGhostBlow
BT2C_01	BT2C_01_LanternGhostInhale
BT2C_02	BT2C_02_NpcJump
BT2C_03	BT2C_03_HuffNPuffJiggle
BT2C_04	BT2C_04_HuffNPuffWobble
BT2C_05	BT2C_05_GhostFunky
BT2C_06	BT2C_06_GhostTransform
BT2C_07	BT2C_07_BowserStarRodUse
BT2C_08	BT2C_08_BowserStarRodDrainWave
BT2C_09	BT2C_09_BowserStarRodGather
BT2C_0A	BT2C_0A_BowserStarRodShockwave
BT2C_0B	BT2C_0B_BowserStarRodEnchant
BT2C_0C	BT2C_0C_BowserCastRecover
BT2C_0D	BT2C_0D_BowserLightning
BT2C_0E	BT2C_0E_BowserPowerDown
BT2C_0F	BT2C_0F_BowserCollapse

BT2D_00	BT2D_00_ActorStep
BT2D_01	BT2D_01_Rumble
BT2D_01_Loop	BT2D_01_Rumble_Loop

PHR1_00	PHR1_00_JingleGotItem
PHR1_01	PHR1_01_JingleGotKey
PHR1_02	PHR1_02_JingleWonBattle
PHR1_03	PHR1_03_JingleGotBadge
PHR1_04	PHR1_04_FileMenuIn
PHR1_05	PHR1_05_FileMenuOut

ENV1_00	ENV1_00_Drip
ENV1_01	ENV1_01_Crow
ENV1_02	ENV1_02_WolfHowl
ENV1_03	ENV1_03_BatWings
ENV1_04	ENV1_04_OwlHootA
ENV1_05	ENV1_05_OwlHootB
ENV1_06	ENV1_06_Bubble
ENV1_07	ENV1_07_Underwater
ENV1_07_Loop	ENV1_07_Underwater_Loop
ENV1_08	ENV1_08_LavaBubbling
ENV1_08_Loop	ENV1_08_LavaBubbling_Loop
ENV1_09	ENV1_09_Seagulls
ENV1_09_Loop	ENV1_09_Seagulls_Loop
ENV1_0A	ENV1_0A_MonkeyHowl
